FlowsOut,UploadedData,DurationMax,AverageCount,RepetitionCount,AttackStart,TransferredData,CurrentMaxUploadedData,FlowsSingleOut,BytesOut,CurrentTargetCount,ICMPType,CurrentAttempts,TargetCount,BytesIn,UnsuccessFlows,SuccessFlows,FlowsIn,AverageDuration,DurationMin,MedianCount,Attempts,CurrentUploadedData,Duration,PacketsOut,FlowsSingleIn,MaxUploadedData,PacketsIn,Type.1_hash_0,Type.1_hash_1,Type.1_hash_2,Type.1_hash_3,Type.1_hash_4,Type.1_hash_5,Type.1_hash_6,Type.1_hash_7,Type.1_hash_8,Type.1_hash_9,Success_hash_0,Success_hash_1,Success_hash_2,Success_hash_3,Success_hash_4,Success_hash_5,Success_hash_6,Success_hash_7,Success_hash_8,Success_hash_9,Protocols_hash_0,Protocols_hash_1,Protocols_hash_2,Protocols_hash_3,Protocols_hash_4,Protocols_hash_5,Protocols_hash_6,Protocols_hash_7,Protocols_hash_8,Protocols_hash_9,Ports_hash_0,Ports_hash_1,Ports_hash_2,Ports_hash_3,Ports_hash_4,Ports_hash_5,Ports_hash_6,Ports_hash_7,Ports_hash_8,Ports_hash_9,Distributed_hash_0,Distributed_hash_1,Distributed_hash_2,Distributed_hash_3,Distributed_hash_4,Distributed_hash_5,Distributed_hash_6,Distributed_hash_7,Distributed_hash_8,Distributed_hash_9,TopPorts_hash_0,TopPorts_hash_1,TopPorts_hash_2,TopPorts_hash_3,TopPorts_hash_4,TopPorts_hash_5,TopPorts_hash_6,TopPorts_hash_7,TopPorts_hash_8,TopPorts_hash_9,label
3.905426199161115e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2375636459019302e-10,0.0,0.0,0.0,0.0,3.2789746483332176e-08,0.0,0.0,4.278587381590094e-06,0.0,0.0,0.0,1.8748711026116955e-05,0.0,0.0,2.625412854375765e-09,0.0,0.0,1.7283095637478773e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
3.905426199161115e-06,0.0,0.0228233333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.834484840752144e-09,0.0,0.0,0.0,0.0,2.817489327456691e-07,0.0,0.0,4.278587381590094e-06,0.0,0.0228541102017383,0.0,1.8748711026116955e-05,0.0,0.0001975440374331,3.675577996126072e-08,0.0,0.0,1.5554786073730897e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.81085239832223e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4751272918038604e-10,0.0,0.0,0.0,0.0,6.557949296666435e-08,0.0,0.0,8.557174763180188e-06,0.0,0.0,0.0,3.749742205223391e-05,0.0,0.0,5.250825708751531e-09,0.0,0.0,3.4566191274957553e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
1.1716278597483344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9279193978626486e-10,0.0,0.0,0.0,0.0,1.2751568076851402e-07,0.0,0.0,1.283576214477028e-05,0.0,0.0,0.0,5.624613307835087e-05,0.0,0.0,7.876238563127296e-09,0.0,0.0,5.184928691243633e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
1.1716278597483344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9279193978626486e-10,0.0,0.0,0.0,0.0,1.2543379210290566e-07,0.0,0.0,1.283576214477028e-05,0.0,0.0,0.0,5.624613307835087e-05,0.0,0.0,7.876238563127296e-09,0.0,0.0,5.184928691243633e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
0.0005506650940817,0.0,0.00226,0.0,0.0,0.0,0.0,0.0,0.0,1.2816011824205247e-06,0.0,0.0,0.0,1.7962350912487428e-05,0.0001084929435586,0.0,0.0,0.0006032808208042,0.0248780832567672,0.0012416721184528,0.0,0.0,0.0,0.0057282289131188,8.598227098080632e-06,0.0,0.0,4.5316276761469344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
1.1716278597483344e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7844337577580766e-10,0.0,0.0,0.0,0.0,1.087786827780385e-07,0.0,0.0,1.283576214477028e-05,0.0,0.0,0.0,5.624613307835087e-05,0.0,0.0,7.876238563127296e-09,0.0,0.0,5.184928691243633e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
1.562170479664446e-05,0.0,0.0739066666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.1017903589529796e-08,0.0,0.0,0.0,0.0,1.6301188251713711e-06,0.0,0.0,1.7114349526360375e-05,0.0,0.0,0.0,7.499484410446782e-05,0.0,0.0006396883887786,1.759026612431763e-07,0.0,0.0,1.0888350251611628e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3.905426199161115e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3093064659542162e-10,0.0,0.0,0.0,0.0,4.3199189811374137e-08,0.0,0.0,4.278587381590094e-06,0.0,0.0,0.0,1.8748711026116955e-05,0.0,0.0,2.625412854375765e-09,0.0,0.0,1.7283095637478773e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
3.905426199161115e-06,0.0,7.333333333333333e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.4348564010457163e-10,0.0,0.0,0.0,0.0,7.633591773897439e-09,0.0,0.0,4.278587381590094e-06,0.0,7.34322220590395e-05,0.0,1.8748711026116955e-05,0.0,6.347259856183786e-07,5.250825708751531e-09,0.0,0.0,1.7283095637478773e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
