CurrentAttempts,FlowsSingleOut,FlowsSingleIn,ICMPType,CurrentMaxUploadedData,RepetitionCount,DurationMax,AverageDuration,CurrentUploadedData,FlowsOut,MedianCount,FlowsIn,PacketsOut,BytesIn,TargetCount,AttackStart,SuccessFlows,CurrentTargetCount,UnsuccessFlows,Duration,TransferredData,MaxUploadedData,DurationMin,AverageCount,BytesOut,UploadedData,Attempts,PacketsIn,label,Protocols_hashed_0,Protocols_hashed_1,Protocols_hashed_2,Protocols_hashed_3,Protocols_hashed_4,Protocols_hashed_5,Protocols_hashed_6,Protocols_hashed_7,Protocols_hashed_8,Protocols_hashed_9,Success_hashed_0,Success_hashed_1,Success_hashed_2,Success_hashed_3,Success_hashed_4,Success_hashed_5,Success_hashed_6,Success_hashed_7,Success_hashed_8,Success_hashed_9,Ports_hashed_0,Ports_hashed_1,Ports_hashed_2,Ports_hashed_3,Ports_hashed_4,Ports_hashed_5,Ports_hashed_6,Ports_hashed_7,Ports_hashed_8,Ports_hashed_9,TopPorts_hashed_0,TopPorts_hashed_1,TopPorts_hashed_2,TopPorts_hashed_3,TopPorts_hashed_4,TopPorts_hashed_5,TopPorts_hashed_6,TopPorts_hashed_7,TopPorts_hashed_8,TopPorts_hashed_9,Type.1_hashed_0,Type.1_hashed_1,Type.1_hashed_2,Type.1_hashed_3,Type.1_hashed_4,Type.1_hashed_5,Type.1_hashed_6,Type.1_hashed_7,Type.1_hashed_8,Type.1_hashed_9,Distributed_hashed_0,Distributed_hashed_1,Distributed_hashed_2,Distributed_hashed_3,Distributed_hashed_4,Distributed_hashed_5,Distributed_hashed_6,Distributed_hashed_7,Distributed_hashed_8,Distributed_hashed_9
0,0,0,0,0,0,0,0,0,1,0,1,1,237,0,0,0,0,0,0,0,0,0,0,73,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,1,0,1,1,237,0,0,0,0,0,0,0,0,0,0,73,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,1,0,1,1,237,0,0,0,0,0,0,0,0,0,0,73,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,38991,0,0,1,0,1,16,1568,0,0,0,0,0,38991,0,0,38991,0,2729,0,1,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,1,0,0,0,0,0,0,0,2,0,1,2,237,0,0,0,0,0,0,0,0,0,0,146,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,0,0,0,0,0,0,0,1,0,1,1,249,0,0,0,0,0,0,0,0,0,0,73,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,5644,0,0,2225,2978,0,0,1764,0,7408,17339,106703799,0,0,0,0,0,2978,8267,0,0,0,2951793,0,0,114643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,13113,0,0,6677,10605,0,0,1527,0,14640,14091,194612807,0,0,0,0,0,10605,8227,0,0,0,2408830,0,0,221926,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,0,27,0,0,6168,999,0,0,16552,0,16579,168737,145407703,0,0,0,0,0,999,3634,0,0,0,32750879,0,0,213404,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
82,0,0,0,3674,0,8380,0,241560,176,0,176,2934,553696,1,1711193186577,0,1,0,8380,0,3962,136,0,578856,578856,176,2616,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
